ID_GRUPO_ID,ID_GRUPO,Score
78,528354,1.0000001192092896
78,578506,0.8435189127922058
78,714961,0.7607619762420654
78,777239,0.7175732851028442
1281,678597,1.0000001192092896
1281,528392,0.9905863404273987
1281,709051,0.9905861616134644
1281,711734,0.8836495280265808
2449,775661,1.0
2449,528442,0.9907066822052002
2449,695076,0.9907066822052002
2449,538124,0.9903118014335632
2095,759487,0.9999997615814209
2095,775889,0.7366728782653809
2095,755643,0.7174572348594666
2095,716076,0.6925712823867798
2473,776575,1.0
2473,780676,0.9896119832992554
2473,720413,0.9871793985366821
2473,537761,0.8277556896209717
372,540141,0.9999998211860657
372,681395,0.9903022050857544
372,684655,0.9903020858764648
372,759400,0.9903020262718201
794,588900,0.9999998807907104
794,531753,0.7648187875747681
794,552371,0.7645371556282043
794,653747,0.6301262378692627
692,570551,0.9999998807907104
692,679392,0.7544665336608887
692,531777,0.7073529362678528
692,591801,0.7067020535469055
1842,724162,0.9999998807907104
1842,780353,0.9932782053947449
1842,634746,0.7325018048286438
1842,779555,0.6486324071884155
2633,780353,1.0
2633,724162,0.9932782053947449
2633,634746,0.7588850855827332
2633,779555,0.6610169410705566
739,576444,1.0
739,738761,0.8532118201255798
739,728059,0.8326913714408875
739,600860,0.7957026362419128
2147,763998,0.9999998211860657
2147,623443,0.7708790898323059
2147,773412,0.7182492613792419
2147,778513,0.7160477042198181
2375,773685,1.0
2375,775549,0.7769363522529602
2375,778691,0.691892147064209
2375,762395,0.6781679391860962
2444,775549,1.0000001192092896
2444,773685,0.7769363522529602
2444,633188,0.757191002368927
2444,543062,0.7538533806800842
2454,775755,1.0
2454,703252,0.7187606692314148
2454,624326,0.6621744632720947
2454,617663,0.6285992860794067
67,528058,0.9999998807907104
67,530856,0.7918189167976379
67,562371,0.7856376767158508
67,578524,0.7714072465896606
526,547440,1.0
526,698736,0.9864805340766907
526,586623,0.9860443472862244
526,604877,0.9677961468696594
1930,746400,1.0
1930,669114,0.7421702146530151
1930,716497,0.6961883902549744
1930,756392,0.6930374503135681
2614,779646,1.0
2614,637186,0.7796659469604492
2614,738761,0.7543221116065979
2614,728059,0.7383279800415039
453,543315,0.9999998807907104
453,770264,0.7060368657112122
453,557571,0.6725440621376038
453,591281,0.6689221858978271
800,591261,1.0
800,637805,0.7377393245697021
800,534600,0.7197046279907227
800,539742,0.6646835803985596
2460,775897,0.9999999403953552
2460,780798,0.8918614983558655
2460,674772,0.7888302206993103
2460,774622,0.7761098146438599
389,540564,1.0
389,573320,0.7680405974388123
389,686518,0.7590125799179077
389,688823,0.7228695154190063
124,529562,1.0
124,601805,0.9311547875404358
124,756684,0.8246275186538696
124,715711,0.8121327757835388
544,548161,1.0000001192092896
544,777483,0.8388901948928833
544,773143,0.8379366993904114
544,775944,0.7679038047790527
2357,773143,1.0000001192092896
2357,769309,0.8878851532936096
2357,776898,0.8799517750740051
2357,777483,0.8784813284873962
2494,776898,1.0
2494,686873,0.9926947355270386
2494,769309,0.977072536945343
2494,773143,0.8799517750740051
2515,777483,1.0
2515,773143,0.8784812688827515
2515,775864,0.8519091010093689
2515,548161,0.8388901948928833
130,529701,1.0
130,711052,0.9455603957176208
130,530922,0.8102104663848877
130,672499,0.743709146976471
670,565944,1.0000001192092896
670,716416,0.988814651966095
670,779147,0.9773733019828796
670,531343,0.840851366519928
425,542325,0.9999998211860657
425,589400,0.9894183874130249
425,545425,0.7473827004432678
425,609552,0.7154449820518494
350,538611,1.0000001192092896
350,688360,0.8213358521461487
350,778956,0.7976802587509155
350,770715,0.7838006615638733
2466,776238,1.0
2466,532067,0.9922946691513062
2466,679483,0.9922946691513062
2466,552212,0.9917619824409485
2531,778063,1.0
2531,749559,0.768679678440094
2531,715513,0.6692363023757935
2531,539922,0.6604414582252502
1836,724138,1.0000001192092896
1836,688092,0.99372798204422
1836,543680,0.9734161496162415
1836,724179,0.8101634383201599
1179,648106,0.9999999403953552
1179,685155,0.8682080507278442
1179,577742,0.8619739413261414
1179,768321,0.8365635275840759
1547,705592,1.0
1547,530624,0.9872498512268066
1547,773425,0.9868090748786926
1547,764042,0.97104811668396
2227,769294,1.0
2227,659906,0.7799597382545471
2227,540473,0.7583968043327332
2227,624586,0.7325695157051086
2422,775014,1.0
2422,594324,0.8616370558738708
